code;text;exclusive;recode
fas_4_4_1;"""Unsere Lehrkraft versucht, unsere Rückmeldung im Unterricht umzusetzen.""";1;0
fas_4_4_2;"""Unsere Lehrkraft fragt uns, was sie im Unterricht besser machen kann.""";1;0
fas_4_4_3;"""Wenn ich etwas nicht verstanden habe, nutzt unsere Lehrkraft das für den weiteren Unterricht.""";1;0
fas_4_4_4;"""Wenn unsere Lehrkraft bemerkt, dass wir etwas gar nicht können, geht sie noch einmal genauer darauf ein.""";0;0
uls_5;"""Unterstützung des Lernens aller Schüler*innen""";0;0
uls_5_1;"""Bereitstellung eines Lernumfelds, das produktives Verhalten fördert""";0;0
uls_5_1_1;"""Unsere Lehrkraft nimmt unsere Vorschläge und Ideen in den Unterricht auf.""";0;0
uls_5_1_2;"""Wir bearbeiten im Unterricht immer wieder mal ein Thema, das wir uns selbst aussuchen dürfen.""";1;0
uls_5_1_3;"""Unsere Lehrkraft gibt mir die Möglichkeit, Aufgaben auf meine eigene Art zu erledigen.""";1;0
uls_5_1_4;"""Im Unterricht lerne ich, selbstständig zu arbeiten.""";0;0
uls_5_1_5;"""Unsere Lehrkraft erklärt im Voraus, was sie von uns erwartet.""";1;0
uls_5_2;"""Differenzierung und Adaptivität""";0;0
uls_5_2_1;"""Unsere Lehrkraft nimmt sich Zeit, um mir Dinge, die ich nicht verstanden habe, noch einmal zu erklären.""";1;0
uls_5_2_2;"""Wenn ich im Unterricht eine Aufgabe schneller erledigt habe, kann ich gleich die nächste bearbeiten.""";1;0
uls_5_2_3;"""Unsere Lehrkraft stellt uns unterschiedlich schwere Fragen, je nachdem wie gut wir sind.""";1;0
uls_5_2_4;"""Unsere Lehrkraft weiß, bei welchen Aufgaben ich Schwierigkeiten habe.""";0;0
uls_5_2_5;"""Wenn ich etwas nicht verstehe, bekomme ich Tipps von unserer Lehrkraft, die mir wirklich weiterhelfen.""";0;0
uls_5_2_6;"""Ich kann aus unterschiedlich schweren Aufgaben auswählen und verschiedene Hilfen nutzen.""";1;0
uls_5_3;"""Förderung der aktiven Mitwirkung von allen Schüler*innen""";0;0
uls_5_3_1;"""Unsere Lehrkraft schafft es, dass möglichst viele im Unterricht mitmachen.""";0;0
uls_5_3_2;"""Unsere Lehrkraft achtet darauf, dass möglichst viele am Unterrichtsgespräch teilnehmen. """;1;0
uls_5_3_3;"""Unsere Lehrkraft ermutigt mich, meine eigene Meinung zu sagen.""";1;0
uls_5_3_4;"""Ich werde auch aufgerufen, wenn ich mich nicht melde.""";1;0
seu_6;"""Sozio-emotionale Unterstützung""";0;0
seu_6_1;"""Beziehung zwischen Lehrperson und Schüler*innen""";0;0
seu_6_1_1;"""Unsere Lehrkraft nimmt sich Zeit, wenn ich etwas mit ihr besprechen möchte.""";0;0
seu_6_1_2;"""Ich habe das Gefühl, ich werde von unserer Lehrkraft ernst genommen.""";1;0
seu_6_1_3;"""Bei unserer Lehrkraft habe ich Angst, mich im Unterricht zu melden.""";1;1
seu_6_1_4;"""Mit meinen Beiträgen geht unsere Lehrkraft wertschätzend um.""";0;0
seu_6_1_5;"""Unsere Lehrkraft zeigt Verständnis, wenn es einem von uns einmal schlecht geht.""";1;0
seu_6_1_6;"""Unsere Lehrkraft hat Humor. """;1;0
seu_6_1_7;"""Unsere Lehrkraft lobt mich, wenn ich mir Mühe gebe.""";1;0
seu_6_1_8;"""Unsere Lehrkraft ist auch dann geduldig, wenn sie die Dinge mehrmals erklären muss.""";1;0
seu_6_2;"""Beziehung der Schüler*innen untereinander""";0;0
seu_6_2_1;"""Bei uns ist es selbstverständlich, dass wir uns gegenseitig helfen. """;0;0
seu_6_2_2;"""Wenn ich Schwierigkeiten habe, kann ich mich auf andere in der Klasse verlassen. """;1;0
seu_6_2_3;"""Im Unterricht wird man leicht ausgeschlossen, wenn man nicht tut, was die Klasse für richtig hält.""";1;1
seu_6_2_4;"""Ich fühle mich in meiner Klasse wohl.""";1;0
seu_6_2_5;"""Im Unterricht ist keiner von der Klassengemeinschaft ausgeschlossen.""";0;0
seu_6_2_6;"""Im Unterricht versucht jeder, besser zu sein als der andere.""";1;1
klf_7;"""Klassenführung""";0;0
klf_7_1;"""Verhaltensmanagement""";0;0
klf_7_1_1;"""Die Verhaltensregeln, die wir im Unterricht einhalten müssen, sind mir bekannt.""";1;0
klf_7_1_2;"""Unsere Lehrkraft hat uns klar gemacht, was passiert, wenn wir die Verhaltensregeln verletzen. """;1;0
klf_7_1_3;"""Unsere Lehrkraft hat die Klasse im Griff. """;0;0
klf_7_1_4;"""Oft ist es im Unterricht laut und alles geht durcheinander.""";1;1
klf_7_1_5;"""Unsere Lehrkraft weiß immer genau, was während des Unterrichts in der Klasse vor sich geht. """;1;0
klf_7_1_6;"""Unsere Lehrkraft achtet sehr darauf, dass wir aufpassen.""";1;0
klf_7_1_7;"""Mir ist klar, was ich tun soll, wenn ich mit einer Aufgabe mal früher fertig bin.""";1;0
klf_7_1_8;"""Unsere Lehrkraft muss lange warten, bis wir alle ruhig werden.""";1;1
klf_7_1_9;"""Unsere Lehrkraft achtet darauf, dass der Unterricht wenig gestört wird.""";0;0
klf_7_2;"""Zeitmanagement""";0;0
klf_7_2_1;"""Unser Unterricht beginnt meist pünktlich.""";1;0
klf_7_2_2;"""Zu Beginn der Stunde dauert es meist sehr lange, bis wir alle ruhig werden und zu arbeiten bereit sind.""";1;1
klf_7_2_3;"""Material oder Geräte (z. B. Arbeitsblätter, Schulbücher, Beamer) sind gleich verfügbar und einsatzbereit.""";0;0
klf_7_2_4;"""Unsere Lehrkraft unterrichtet so, dass wir stets beschäftigt sind und wenig Zeit verloren geht.""";0;0
klf_7_2_5;"""Bei unserer Lehrkraft wird im Unterricht viel Zeit vertrödelt.""";1;1
klf_7_2_6;Wenn wir uns z. B. für eine Gruppenarbeit umsetzen, wissen wir genau, wie wir vorzugehen haben, ohne dass unsere Lehrkraft viel sagen muss.;1;0
klf_7_2_7;"""Unsere Lehrkraft nimmt so viele Inhalte durch, dass ich gar nicht alles aufnehmen kann.""";1;1
klf_7_2_8;"""Der Unterricht geht oft so schnell voran, dass ich Schwierigkeiten habe, mitzukommen.""";1;1
klf_7_2_9;"""Häufig sitze ich im Unterricht einfach nur da, ohne dass irgendetwas vorangeht.""";1;1
aes-de_8;"""Ästhetik Deutsch""";0;0
aes-de_8_1;"""ästhetisch-emotionales Er- und Vorleben""";0;0
aes-de_8_1_1;"""Ich spüre manchmal, wie begeistert unsere Lehrkraft ist, wenn sie mit uns über literarische Texte spricht.""";0;0
aes-de_8_1_2;"""Im Unterricht bin ich manchmal so in das Stundenthema vertieft, dass die Stunde viel schneller als sonst vergeht.""";1;0
aes-de_8_1_3;"""Unsere Lehrkraft schildert, welche Gefühle ein literarischer Text in ihr ausgelöst hat.""";1;0
aes-de_8_2;"""Freiräume für ästhetisch-emotionale Erfahrungen""";0;0
aes-de_8_2_1;"""Unsere Lehrkraft stellt uns im Unterricht literarische Texte vor, die angenehme oder unangenehme Gefühle in mir auslösen.""";1;0
aes-de_8_2_2;"""Unsere Lehrkraft gibt mir genug Zeit, mich mit literarischen Texten zu beschäftigen, die mich irgendwie beeindrucken.""";1;0
aes-de_8_2_3;"""Unsere Lehrkraft schafft eine angenehme Atmosphäre, so dass ich mich traue, auch über meine eigenen Eindrücke zu einem literarischen Text zu sprechen.""";0;0
aes-de_8_2_4;"""Unsere Lehrkraft ist an unseren eigenen Eindrücken zu literarischen Texten ernsthaft interessiert.""";1;0
aes-de_8_3;"""Schaffung ästhetischer Handlungsanlässe""";0;0
aes-de_8_3_1;"""Im Unterricht stellt uns unsere Lehrkraft Fragen zu unseren eigenen Eindrücken und Empfindungen bei einem bestimmten Thema.""";1;0
aes-de_8_3_2;"""Ich finde, unsere Lehrkraft achtet meine literarischen Vorlieben.""";0;0
aes-de_8_3_3;"""Unsere Lehrkraft ermuntert uns, über unsere Empfindungen bei bestimmten Stundenthemen zu sprechen.""";1;0
aes-de_8_3_4;"""Unsere Lehrkraft fördert unseren kreativen Umgang mit Themen des Unterrichts.""";0;0
aes-de_8_3_5;"""Im Unterricht können wir eigene Texte erfinden und schreiben.""";1;0
aes-de_8_3_6;"""Unsere Lehrkraft lässt uns Themen der Unterrichtsstunde manchmal eigenständig weiterentwickeln.""";1;0
aes-de_8_3_7;"""Im Unterricht kann ich auch darüber sprechen, dass ein literarischer Text bei mir bestimmte Gefühle auslöst.""";1;0
aes-de_8_4;"""Veränderungen infolge ästhetischer Erfahrung""";0;0
aes-de_8_4_1;"""Ein literarischer Text hat mich im Unterricht so beeindruckt, dass ich mich nun auch in meiner Freizeit gerne damit beschäftige.""";1;0
aes-de_8_4_2;"""Über bestimmte Themen empfinde ich anders, nachdem wir im Unterricht darüber gesprochen haben.""";0;0
aes-de_8_4_3;"""Bei bestimmten Beispielen im Literaturunterricht verstehe ich nicht, wie diese jemandem gefallen können.""";1;0
aes-de_8_4_4;"""Seitdem wir im Unterricht über einen literarischen Text gesprochen haben, verbinde ich damit ein bestimmtes Gefühl.""";1;0
aes-de_8_4_5;"""Unsere Lehrkraft behandelt im Unterricht manchmal Themen mit uns, die mich über mich selbst nachdenken lassen.""";1;0
aes-de_8_5;"""Bewusstsein für Beeinflussung und Gefahren ästhetischer Erfahrung""";0;0
aes-de_8_5_1;"""Ich habe das Gefühl, unsere Lehrkraft möchte, dass ich dasselbe denke oder dasselbe gut finde wie sie.""";0;1
aes-de_8_5_2;"""Ich habe das Gefühl, dass ich bei einem bestimmten Unterrichtsthema etwas fühlen soll, was ich aber gar nicht tue.""";1;1
aes-de_8_5_3;"""Im Unterricht dürfen wir alle unsere freie Meinung äußern, aufgeschrieben wird aber diejenige unserer Lehrkraft.""";1;1
aes-de_8_5_4;"""Ich habe das Gefühl, dass unsere Lehrkraft mir ihre Vorlieben in Deutsch aufzwingen möchte.""";1;1
fps-de_9;"""fachspezifische Items Deutsch""";0;0
fps-de_9_1;"""Fremdheitserfahrung""";0;0
fps-de_9_1_1;"""Im Unterricht lerne ich fremde Lebenswelten kennen.""";1;0
fps-de_9_1_2;"""Der Unterricht eröffnet mir oftmals eine neue Sicht auf (bekannte) Dinge. """;0;0
fps-de_9_1_3;"""Im Unterricht gibt es häufig Gelegenheiten, den Blickwinkel anderer Personen einzunehmen.""";1;0
fps-de_9_1_4;"""Unsere Lehrkraft ermutigt uns, selbstständig Gemeinsamkeiten und Unterschiede zwischen unserer und fremden Lebenswelten zu finden. """;1;0
fps-de_9_2;"""Gendersensibler Unterricht""";0;0
fps-de_9_2_1;"""Ich habe das Gefühl, dass unsere Lehrkraft Mädchen in Deutsch mehr zutraut.""";1;1
fps-de_9_2_2;"""Unsere Lehrkraft vermittelt mir den Eindruck, dass jeder in Deutsch gut sein kann. """;0;0
fps-de_9_2_3;"""Ich habe das Gefühl, unsere Lehrkraft ist davon überzeugt, dass Leistungen in Deutsch nicht vom Geschlecht abhängen.""";0;0
fps-de_9_2_4;"""Unsere Lehrkraft fördert Jungen im Unterricht besonders.""";1;1
fps-de_9_2_5;"""Unsere Lehrkraft fördert Mädchen im Unterricht besonders.""";1;1
fps-de_9_2_6;"""Unsere Lehrkraft vermittelt mir den Eindruck, dass Mädchen Deutsch einfach besser können als Jungen.""";1;1
fps-de_9_3;"""Rückmeldung hinsichtlich Tiefenstrukturen""";0;0
fps-de_9_3_1;"""Unsere Lehrkraft gibt mir in meinen Texten vor allem Rückmeldung auf Rechtschreibung und Grammatik.""";1;1
fps-de_9_3_2;"""Die Rückmeldungen unserer Lehrkraft helfen mir dabei, Aufbau und Inhalt meiner Texte zu verbessern.""";0;0
fps-de_9_3_3;"""Ich erhalte regelmäßig Rückmeldung auf Texte, die ich schreibe.""";1;0
fps-de_9_3_4;"""Die Korrekturen unserer Lehrkraft enthalten hilfreiche Tipps, wie ich meinen Text verbessern kann.""";0;0
fps-de_9_3_5;"""Bei Rückmeldungen benennt unsere Lehrkraft genau die Stärken und Schwächen meiner Texte.""";1;0
fps-de_9_4;"""Berücksichtigung eines erweiterten Textbegriffs""";0;0
fps-de_9_4_1;"""Wir beschäftigen uns mit Texten, die nicht gedruckt vorliegen (z. B. digitale Nachrichten, Filmausschnitte, Hörspiele).""";1;0
fps-de_9_4_2;"""Unsere Lehrkraft gibt uns gelegentlich die Aufgabe, selbstständig Audioaufnahmen, Videoclips oder Ähnliches zu erstellen.""";1;0
fps-de_9_4_3;"""Unsere Lehrkraft schafft immer wieder Gelegenheiten, Gestaltung und Merkmale von digitalen Texten (z. B. Kurznachrichten, Werbung) zu untersuchen.""";0;0
fps-de_9_4_4;"""Unsere Lehrkraft fordert uns auf, immer wieder kritisch über Absichten und Wirkungen von digitalen Texten (z. B. Fake News, Werbung) nachzudenken.""";0;0
fps-de_9_5;"""vielfältige Produktionsgelegenheiten""";0;0
fps-de_9_5_1;"""Wir erhalten regelmäßig Gelegenheiten, selbstständig Texte zu schreiben.""";0;0
fps-de_9_5_2;"""Wir trainieren jede Aufsatzart durch das Schreiben unterschiedlicher Texte.""";1;0
fps-de_9_5_3;"""Bei jeder Aufsatzart üben wir bestimmte Teile eines Textes durch unterschiedliche Aufgaben besonders.""";1;0
fps-de_9_5_4;"""Wir erhalten immer wieder die Möglichkeit, unsere Texte zu überarbeiten und zu verbessern.""";1;0
fps-de_9_6;"""Vortragen und Debattieren""";0;0
fps-de_9_6_1;"""Unsere Lehrkraft gibt mir immer wieder Hinweise, wie ich üben kann, bei einem Vortrag vor der Klasse frei zu sprechen.""";1;0
fps-de_9_6_2;"""Unsere Lehrkraft zeigt mir regelmäßig, wie ich bei Vorträgen Medien sinnvoll einsetzen kann.""";1;0
fps-de_9_6_3;"""Unsere Lehrkraft schafft Gesprächsanlässe, bei denen ich üben kann, meine eigene Position zu vertreten.""";0;0
fps-de_9_6_4;"""Unsere Lehrkraft gibt Tipps und macht vor, wie ich in Gesprächen Argumente eines anderen aufgreifen kann.""";1;0
fps-de_9_7;"""Strategieeinsatz beim Textverständnis und Schreiben""";0;0
fps-de_9_7_1;"""Unsere Lehrkraft übt mit uns, wie wir die sprachliche Vielschichtigkeit z. B. von Gedichten entschlüsseln können.""";1;0
fps-de_9_7_2;"""Unsere Lehrkraft hilft uns, auch schwierige Texte zu verstehen, indem sie uns mit passenden Hilfestellungen und Tipps durch den Text führt.""";1;0
fps-de_9_7_3;"""Unsere Lehrkraft zeigt uns immer wieder, welche Techniken wir einsetzen können, um schwierige Texte besser zu verstehen.""";1;0
fps-de_9_7_4;"""Unsere Lehrkraft übt regelmäßig mit uns, wie wir Zusatzmaterial für das Schreiben von Texten gewinnbringend nutzen können. """;1;0
fps-de_9_7_5;"""Das Zusatzmaterial, das uns unsere Lehrkraft bereitstellt, können wir für das Schreiben von Texten gut einsetzen.""";1;0
aes-en_8;"""Ästhetik Englisch""";0;0
aes-en_8_1;"""Ästhetisch-emotionales Er- und Vorleben""";0;0
aes-en_8_1_1;"""Ich spüre manchmal, wie begeistert unsere Lehrkraft ist, wenn sie mit uns über englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) spricht.""";0;0
aes-en_8_1_2;"""Im Unterricht bin ich manchmal so in das Stundenthema vertieft, dass die Stunde viel schneller als sonst vergeht.""";1;0
aes-en_8_1_3;"""Unsere Lehrkraft schildert, welche Gefühle englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) in ihr ausgelöst haben.""";1;0
aes-en_8_2;"""Freiräume für ästhetisch-emotionale Erfahrungen""";0;0
aes-en_8_2_1;"""Unsere Lehrkraft stellt uns im Unterricht englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) vor, die angenehme oder unangenehme Gefühle in mir auslösen.""";1;0
aes-en_8_2_2;"""Unsere Lehrkraft gibt mir genug Zeit, mich mit englischsprachigen Texten und Medien (z. B. Videos oder Hörbeispielen) zu beschäftigen, die mich irgendwie beeindrucken.""";1;0
aes-en_8_2_3;"""Unsere Lehrkraft schafft eine angenehme Atmosphäre, so dass ich mich traue, auch über meine eigenen Eindrücke zu englischsprachigen Texten und Medien (z. B. Videos oder Hörbeispielen) zu sprechen.""";0;0
aes-en_8_2_4;"""Unsere Lehrkraft ist an unseren eigenen Eindrücken zu englischsprachigen Texten und Medien (z. B. Videos oder Hörbeispielen) ernsthaft interessiert.""";1;0
aes-en_8_3;"""Schaffung ästhetischer Handlungsanlässe""";0;0
aes-en_8_3_1;"""Im Unterricht stellt uns unsere Lehrkraft Fragen zu unseren eigenen Eindrücken und Empfindungen bei einem bestimmten Thema.""";1;0
aes-en_8_3_2;"""Ich finde, unsere Lehrkraft achtet meine literarischen Vorlieben.""";0;0
aes-en_8_3_3;"""Unsere Lehrkraft ermuntert uns, über unsere Empfindungen bei bestimmten Stundenthemen zu sprechen.""";1;0
aes-en_8_3_4;"""Unsere Lehrkraft fördert unseren kreativen Umgang mit Themen des Unterrichts.""";0;0
aes-en_8_3_5;"""Im Unterricht können wir eigene englischsprachige Texte erfinden und schreiben.""";1;0
aes-en_8_3_6;"""Unsere Lehrkraft lässt uns Themen der Unterrichtsstunde manchmal eigenständig weiterentwickeln.""";1;0
aes-en_8_3_7;"""Im Unterricht kann ich auch darüber sprechen, dass englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) bei mir bestimmte Gefühle auslösen.""";1;0
aes-en_8_4;"""Veränderungen infolge ästhetischer Erfahrung""";0;0
aes-en_8_4_1;"""Englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) haben mich im Unterricht so beeindruckt, dass ich mich nun auch in meiner Freizeit gerne damit beschäftige.""";1;0
aes-en_8_4_2;"""Über bestimmte Themen empfinde ich anders, nachdem wir im Unterricht darüber gesprochen haben.""";0;0
aes-en_8_4_3;"""Bei bestimmten Beispielen im Unterricht verstehe ich nicht, wie diese jemandem gefallen können.""";1;0
